name;area;population;region
Andalucía;87597;8414240;peninsula
Aragón;47719;1319291;peninsula
Canarias;7446;2153579;canarias
Cantabria;5321;581078;peninsula
Castilla y León;93950;2399548;peninsula
Castilla-La Mancha;79462;2032863;peninsula
Cataluña;32116;7675217;peninsula
Ceuta;18;84477;africa
Comunidad de Madrid;8027;6693394;peninsula
Comunidad Valenciana;23260;5003769;peninsula
Extremadura;41634;1067710;peninsula
Galicia;29573;2699499;peninsula
Islas Baleares;4991;1149460;baleares
La Rioja;5045;316798;peninsula
Melilla;12;86487;africa
Navarra;10391;654214;peninsula
País Vasco;7251;2207776;peninsula
Principado de Asturias;10603;1022800;peninsula
Región de Murcia;11313;1493898;peninsula
