states;votes;label
Labour Party;48;LAB
California;45;CALIFORNIA
New York;41;NEW YORK
Pennsylvania;27;PENNSYLVANIA
Illinois;26;ILLINOIS
Texas;26;TEXAS
Ohio;25;OHIO
Michigan;21;MICHIGAN
Florida;17;FLORIDA
New Jersey;17;NEW JERSEY
Massachusetts;14;MASSACHUSETTS
Indiana;13;INDIANA
North Carolina;13;NORTH CAROLINA
Georgia;12;GEORGIA
Missouri;12;MISSOURI
Virginia;12;VIRGINIA
Wisconsin;11;WISCONSIN
Louisiana;10;LOUISIANA
Maryland;10;MARYLAND
Minnesota;10;MINNESOTA
Tennessee;10;TENNESSEE
Alabama;9;ALABAMA
Kentucky;9;KENTUCKY
Washington;9;WASHINGTON
Connecticut;9;CONNECTICUT
Iowa;8;IOWA
Oklahoma;8;OKLAHOMA
South Carolina;7;SOUTH CAROLINA
Colorado;7;COLORADO
Kansas;7;KANSAS
Mississippi;7;MISSISSIPPI
Arizona;6;ARIZONA
Arkansas;6;ARKANSAS
Oregon;6;OREGON
West Virginia;6;WEST VIRGINIA
Nebraska;5;NEBRASKA
Hawaii;4;HAWAII
Idaho;4;IDAHO
Montana;4;MONTANA
New Hampshire;4;NEW HAMPSHIRE
New Mexico;4;NEW MEXICO
Rhode Island;4;RHODE ISLAND
South Dakota;4;SOUTH DAKOTA
Utah;4;UTAH
Maine;4;MAINE
Alaska;3;ALASKA
Delaware;3;DELAWARE
D.C.;3;D.C.
Nevada;3;NEVADA
North Dakota;3;NORTH DAKOTA
Vermont;3;VERMONT
Wyoming;3;WYOMING
